date,time,district_code,district,accident_type,weather_state,vehicle_type,person_type,age_range,sex,injury_type,coordinate_x_utm,coordinate_y_utm,positive_alcohol,positive_drug,datetime,accidents,month,year,quarter,country,region,city,postal_code
2019-01-02 00:00:00,20:45:00,16,hortaleza,lateral front collision,clear,bicycle,driver,over 60,male,severe,444.591.127,4.479.784.701,0,0,2019-01-02 20:45:00,1,1,2019,1,spain,comunidad de madrid,madrid,28004
2019-01-03 00:00:00,10:30:00,9,moncloa-aravaca,fall,clear,bicycle,driver,younger than 21,male,mild,438.315.991,4.478.761.412,0,0,2019-01-03 10:30:00,1,1,2019,1,spain,comunidad de madrid,madrid,28011
2019-01-03 00:00:00,12:45:00,18,villa de vallecas,rear,clear,bicycle,driver,younger than 21,male,mild,448.366.684,4.469.893.796,0,0,2019-01-03 12:45:00,1,1,2019,1,spain,comunidad de madrid,madrid,28031
2019-01-03 00:00:00,12:45:00,18,villa de vallecas,rear,clear,bicycle,driver,21 to 30,male,low,448.366.684,4.469.893.796,0,0,2019-01-03 12:45:00,1,1,2019,1,spain,comunidad de madrid,madrid,28031
2019-01-03 00:00:00,14:30:00,18,villa de vallecas,rear,unknown,bicycle,driver,younger than 21,male,mild,447.078.477,4.470.344.997,0,0,2019-01-03 14:30:00,1,1,2019,1,spain,comunidad de madrid,madrid,28031
2019-01-04 00:00:00,17:10:00,5,chamartín,lateral front collision,clear,bicycle,driver,31 to 40,male,mild,442.893.724,4.477.784.651,0,0,2019-01-04 17:10:00,1,1,2019,1,spain,comunidad de madrid,madrid,28036
2019-01-04 00:00:00,13:35:00,14,moratalaz,lateral front collision,clear,bicycle,driver,over 60,male,mild,446.461.067,4.473.051.643,0,0,2019-01-04 13:35:00,1,1,2019,1,spain,comunidad de madrid,madrid,28030
2019-01-01 00:00:00,14:00:00,4,salamanca,rear,clear,bicycle,driver,21 to 30,male,mild,442.218.740,4.475.612.690,0,0,2019-01-01 14:00:00,1,1,2019,1,spain,comunidad de madrid,madrid,28020
2019-01-07 00:00:00,14:00:00,8,fuencarral-el pardo,lateral front collision,clear,bicycle,driver,31 to 40,male,mild,441.764.073,4.482.763.433,0,0,2019-01-07 14:00:00,1,1,2019,1,spain,comunidad de madrid,madrid,28048
2019-01-09 00:00:00,12:50:00,1,centro,rear,clear,bicycle,driver,younger than 21,male,unknown,439.854.516,4.474.862.412,0,0,2019-01-09 12:50:00,1,1,2019,1,spain,comunidad de madrid,madrid,28012
2019-01-08 00:00:00,13:03:00,8,fuencarral-el pardo,fall,clear,bicycle,driver,21 to 30,male,mild,441.249.856,4.484.718.672,0,0,2019-01-08 13:03:00,1,1,2019,1,spain,comunidad de madrid,madrid,28048
2019-01-09 00:00:00,14:50:00,11,carabanchel,side collision,clear,bicycle,driver,31 to 40,male,mild,439.160.331,4.471.027.621,0,0,2019-01-09 14:50:00,1,1,2019,1,spain,comunidad de madrid,madrid,28025
2019-01-08 00:00:00,20:55:00,2,arganzuela,run over a person,clear,bicycle,driver,41 to 50,male,low,442.128.793,4.471.041.676,0,0,2019-01-08 20:55:00,1,1,2019,1,spain,comunidad de madrid,madrid,28005
2019-01-08 00:00:00,20:55:00,2,arganzuela,run over a person,clear,bicycle,pedestrian,31 to 40,male,mild,442.128.793,4.471.041.676,0,0,2019-01-08 20:55:00,1,1,2019,1,spain,comunidad de madrid,madrid,28005
2019-01-12 00:00:00,22:15:00,11,carabanchel,crash against fixed obstacle,clear,bicycle,driver,21 to 30,male,mild,437.901.464,4.469.445.798,0,0,2019-01-12 22:15:00,1,1,2019,1,spain,comunidad de madrid,madrid,28025
2019-01-12 00:00:00,22:45:00,10,latina,crash against fixed obstacle,clear,bicycle,driver,21 to 30,male,mild,434.729.188,4.471.261.484,0,0,2019-01-12 22:45:00,1,1,2019,1,spain,comunidad de madrid,madrid,28047
2019-01-12 00:00:00,13:00:00,10,latina,rear,clear,bicycle,driver,41 to 50,male,low,434.184.773,4.471.970.438,0,0,2019-01-12 13:00:00,1,1,2019,1,spain,comunidad de madrid,madrid,28047
2019-01-14 00:00:00,11:10:00,1,centro,fall,clear,bicycle,driver,41 to 50,male,mild,439.972.908,4.474.416.388,0,0,2019-01-14 11:10:00,1,1,2019,1,spain,comunidad de madrid,madrid,28012
2019-01-10 00:00:00,20:30:00,2,arganzuela,fall,clear,bicycle,driver,51 to 60,male,mild,439.999.601,4.472.603.749,0,0,2019-01-10 20:30:00,1,1,2019,1,spain,comunidad de madrid,madrid,28005
2019-01-14 00:00:00,16:30:00,15,ciudad lineal,side collision,clear,bicycle,driver,51 to 60,female,low,445.098.521,4.475.348.003,0,0,2019-01-14 16:30:00,1,1,2019,1,spain,comunidad de madrid,madrid,28027
2019-01-11 00:00:00,16:00:00,1,centro,lateral front collision,clear,bicycle,driver,21 to 30,male,low,439.942.934,4.474.788.750,0,0,2019-01-11 16:00:00,1,1,2019,1,spain,comunidad de madrid,madrid,28012
2019-01-16 00:00:00,9:00:00,15,ciudad lineal,lateral front collision,clear,bicycle,driver,31 to 40,male,mild,446.159.016,4.474.638.061,0,0,2019-01-16 09:00:00,1,1,2019,1,spain,comunidad de madrid,madrid,28027
2019-01-12 00:00:00,13:03:00,18,villa de vallecas,lateral front collision,unknown,bicycle,driver,younger than 21,female,mild,448.350.971,4.468.767.824,0,0,2019-01-12 13:03:00,1,1,2019,1,spain,comunidad de madrid,madrid,28031
2019-01-14 00:00:00,22:45:00,7,chamberí,lateral front collision,unknown,bicycle,driver,21 to 30,male,unknown,441.368.335,4.476.287.483,0,0,2019-01-14 22:45:00,1,1,2019,1,spain,comunidad de madrid,madrid,28010
