year,month,quarter,sex,accidents,date
2019.0,1.0,1.0,female,7.0,2019-01-01
2019.0,1.0,1.0,male,42.0,2019-01-01
2019.0,2.0,1.0,female,16.0,2019-02-01
2019.0,2.0,1.0,male,35.0,2019-02-01
2019.0,3.0,1.0,female,22.0,2019-03-01
2019.0,3.0,1.0,male,60.0,2019-03-01
2019.0,4.0,2.0,female,10.0,2019-04-01
2019.0,4.0,2.0,male,38.0,2019-04-01
2019.0,5.0,2.0,female,26.0,2019-05-01
2019.0,5.0,2.0,male,65.0,2019-05-01
2019.0,5.0,2.0,unknown,1.0,2019-05-01
2019.0,6.0,2.0,female,22.0,2019-06-01
2019.0,6.0,2.0,male,73.0,2019-06-01
2019.0,6.0,2.0,unknown,4.0,2019-06-01
2019.0,7.0,3.0,female,22.0,2019-07-01
2019.0,7.0,3.0,male,64.0,2019-07-01
2019.0,7.0,3.0,unknown,1.0,2019-07-01
2019.0,8.0,3.0,female,12.0,2019-08-01
2019.0,8.0,3.0,male,44.0,2019-08-01
2019.0,8.0,3.0,unknown,2.0,2019-08-01
2019.0,9.0,3.0,female,27.0,2019-09-01
2019.0,9.0,3.0,male,84.0,2019-09-01
2019.0,9.0,3.0,unknown,2.0,2019-09-01
2019.0,10.0,4.0,female,28.0,2019-10-01
2019.0,10.0,4.0,male,71.0,2019-10-01
2019.0,10.0,4.0,unknown,1.0,2019-10-01
2019.0,11.0,4.0,female,19.0,2019-11-01
2019.0,11.0,4.0,male,42.0,2019-11-01
2019.0,12.0,4.0,female,14.0,2019-12-01
2019.0,12.0,4.0,male,33.0,2019-12-01
2019.0,12.0,4.0,unknown,2.0,2019-12-01
2020.0,1.0,1.0,female,10.0,2020-01-01
2020.0,1.0,1.0,male,40.0,2020-01-01
2020.0,2.0,1.0,female,17.0,2020-02-01
2020.0,2.0,1.0,male,38.0,2020-02-01
2020.0,3.0,1.0,female,9.0,2020-03-01
2020.0,3.0,1.0,male,19.0,2020-03-01
2020.0,3.0,1.0,unknown,1.0,2020-03-01
2020.0,4.0,2.0,female,2.0,2020-04-01
2020.0,4.0,2.0,male,4.0,2020-04-01
2020.0,5.0,2.0,female,18.0,2020-05-01
2020.0,5.0,2.0,male,94.0,2020-05-01
2020.0,5.0,2.0,unknown,4.0,2020-05-01
2020.0,6.0,2.0,female,36.0,2020-06-01
2020.0,6.0,2.0,male,103.0,2020-06-01
2020.0,6.0,2.0,unknown,1.0,2020-06-01
2020.0,7.0,3.0,female,23.0,2020-07-01
2020.0,7.0,3.0,male,96.0,2020-07-01
2020.0,7.0,3.0,unknown,1.0,2020-07-01
2020.0,8.0,3.0,female,26.0,2020-08-01
2020.0,8.0,3.0,male,57.0,2020-08-01
2020.0,8.0,3.0,unknown,3.0,2020-08-01
2020.0,9.0,3.0,female,19.0,2020-09-01
2020.0,9.0,3.0,male,66.0,2020-09-01
2020.0,10.0,4.0,female,19.0,2020-10-01
2020.0,10.0,4.0,male,74.0,2020-10-01
2020.0,10.0,4.0,unknown,1.0,2020-10-01
2020.0,11.0,4.0,female,20.0,2020-11-01
2020.0,11.0,4.0,male,57.0,2020-11-01
2020.0,11.0,4.0,unknown,2.0,2020-11-01
2020.0,12.0,4.0,female,17.0,2020-12-01
2020.0,12.0,4.0,male,49.0,2020-12-01
2020.0,12.0,4.0,unknown,2.0,2020-12-01
2021.0,1.0,1.0,female,9.0,2021-01-01
2021.0,1.0,1.0,male,29.0,2021-01-01
2021.0,1.0,1.0,unknown,2.0,2021-01-01
2021.0,2.0,1.0,female,16.0,2021-02-01
2021.0,2.0,1.0,male,45.0,2021-02-01
2021.0,3.0,1.0,female,18.0,2021-03-01
2021.0,3.0,1.0,male,69.0,2021-03-01
2021.0,3.0,1.0,unknown,2.0,2021-03-01
2021.0,4.0,2.0,female,25.0,2021-04-01
2021.0,4.0,2.0,male,48.0,2021-04-01
2021.0,4.0,2.0,unknown,2.0,2021-04-01
2021.0,5.0,2.0,female,14.0,2021-05-01
2021.0,5.0,2.0,male,72.0,2021-05-01
2021.0,5.0,2.0,unknown,2.0,2021-05-01
2021.0,6.0,2.0,female,23.0,2021-06-01
2021.0,6.0,2.0,male,63.0,2021-06-01
2021.0,7.0,3.0,female,17.0,2021-07-01
2021.0,7.0,3.0,male,50.0,2021-07-01
